染色		{'dyeing':1.0}	{'dyeing': 3684}	dyeing
压力测量		{'pressure measurement':1.0}	{'pressure measurement': 130}	pressure measurement
同浴整理		{'one-bath finish':1.0}	{'one-bath finish': 0}	one-bath finish
混纺工艺		{'blending process':1.0}	{'blending process': 12}	blending process
鳞片结构		{'scale structure':1.0}	{'scale structure': 4}	scale structure
鹅绒		{'goose down':1.0}	{'goose down': 6}	goose down
抗绕	{'抗绕':0.7,'抗绕性':0.3}	{'entangling resistance':0.5,'anti-entangling':0.5}	{'entangling resistance': 0, 'anti-entangling': 0}	entangling resistance
阻燃腈纶	{'阻燃腈纶':0.64286,'阻燃腈纶纤维':0.35714}	{'flame-retardant acrylic fiber':0.5,'flame-retardant acrylic':0.5}	{'flame-retardant acrylic fiber': 0, 'flame-retardant acrylic': 0}	flame-retardant acrylic fiber
比电容	{'比电容':0.73333,'电容':0.16667,'电容式':0.1}	{'specific capacitance':0.66667,'capacitance':0.33333}	{'capacitance': 3178, 'specific capacitance': 1100}	specific capacitance
预媒染色	{'预媒染色':0.6,'预媒染':0.4}	{'pre-mordant dyeing':1.0}	{'pre-mordant dyeing': 0}	pre-mordant dyeing
纯纺纱	{'纯纺纱':0.64286,'纯纺':0.35714}	{'pure yarn':0.5,'pure spinning':0.5}	{'pure yarn': 0, 'pure spinning': 0}	pure yarn
折皱回复性能		{'wrinkle recovery property':1.0}	{'wrinkle recovery property': 0}	wrinkle recovery property
新型面料		{'new fabric':1.0}	{'new fabric': 0}	new fabric
生态环境		{'ecological environment':1.0}	{'ecological environment': 0}	ecological environment
涤纶纱	{'涤纶纱线':0.53846,'涤纶纱':0.46154}	{'polyester yarn':1.0}	{'polyester yarn': 184}	polyester yarn
纱体		{'yarn body':1.0}	{'yarn body': 0}	yarn body
钛酸四丁酯	{'钛酸丁酯':0.5,'钛酸四丁酯':0.5}	{'tetrabutyl titanate':1.0}	{'tetrabutyl titanate': 13}	tetrabutyl titanate
生理特征		{'physiological features':0.5,'physiological feature':0.5}	{'physiological features': 3, 'physiological feature': 0}	physiological features
配合物	{'配合物':0.58333,'复配':0.20833,'络合物':0.125,'复合':0.08334}	{'complexes':0.5,'complex':0.5}	{'complex': 69, 'complexes': 36}	complexes
精干麻		{'degummed ramie':1.0}	{'degummed ramie': 0}	degummed ramie
紫外光谱		{'uv spectroscopy':1.0}	{'uv spectroscopy': 16}	uv spectroscopy
雾化		{'fogging':1.0}	{'fogging': 4}	fogging
石蜡		{'paraffin':1.0}	{'paraffin': 100}	paraffin
液晶		{'liquid crystal':1.0}	{'liquid crystal': 229}	liquid crystal
酶退浆		{'enzymatic desizing':0.5,'enzyme desizing':0.5}	{'enzymatic desizing': 0, 'enzyme desizing': 0}	enzymatic desizing
透光率	{'透光率':0.52857,'透射率':0.3,'透过率':0.17143}	{'transmittance':0.6,'light transmittance':0.4}	{'transmittance': 212, 'light transmittance': 83}	transmittance
传动机构		{'transmission mechanism':1.0}	{'transmission mechanism': 0}	transmission mechanism
无皂		{'soap-free':1.0}	{'soap-free': 0}	soap-free
蒸发速率		{'evaporation rate':1.0}	{'evaporation rate': 121}	evaporation rate
印花设备	{'印花机':0.66667,'印花设备':0.33333}	{'printing machine':1.0}	{'printing machine': 14}	printing machine
膜技术		{'membrane technology':1.0}	{'membrane technology': 1229}	membrane technology
热回收	{'热回收':0.75,'热能回收':0.25}	{'heat recovery':1.0}	{'heat recovery': 19}	heat recovery
生物医用	{'生物医用':0.625,'生物医学':0.375}	{'biomedical':1.0}	{'biomedical': 22}	biomedical
组织点		{'interlacing point':1.0}	{'interlacing point': 3}	interlacing point
运动轨迹		{'motion trajectory':1.0}	{'motion trajectory': 0}	motion trajectory
细羊毛	{'细羊毛':0.71429,'绵羊毛':0.28571}	{'fine wool':1.0}	{'fine wool': 6}	fine wool
两浴法		{'two bath method':0.5,'two bath process':0.5}	{'two bath method': 0, 'two bath process': 0}	two bath method
聚醚改性		{'polyether modification':1.0}	{'polyether modification': 0}	polyether modification
服装服饰	{'服装':0.86316,'服饰':0.11579,'服装服饰':0.02105}	{'apparel':1.0}	{'apparel': 179}	apparel
洗水	{'洗水':0.60879,'水洗':0.1978,'洗涤':0.18022,'清洗':0.01319}	{'wash':0.6,'washing':0.4}	{'washing': 1193, 'wash': 0}	wash
细纱工艺	{'纺纱工艺':0.5886,'纺丝工艺':0.17722,'细纱工序':0.05696,'纺纱过程':0.0443,'细纱工艺':0.03165,'纺纱工序':0.02532,'纺纱流程':0.02532,'细纱':0.01899,'纺纱':0.01899,'纺丝过程':0.01266}	{'spinning process':1.0}	{'spinning process': 139}	spinning process
退火	{'退火':0.75,'回火':0.25}	{'annealing':1.0}	{'annealing': 3026}	annealing
中国服饰文化		{'chinese clothing culture':0.6,'chinese costume culture':0.4}	{'chinese clothing culture': 0, 'chinese costume culture': 0}	chinese clothing culture
上染量	{'上染率':0.7826,'上染百分率':0.1087,'上染量':0.06522,'提升力':0.04348}	{'dye-uptake':1.0}	{'dye-uptake': 7}	dye-uptake
生产特点		{'production characteristics':0.66667,'production features':0.33333}	{'production characteristics': 0, 'production features': 0}	production characteristics
热释放速率		{'heat release rate':1.0}	{'heat release rate': 5}	heat release rate
替代品	{'替代品':0.75,'代用品':0.25}	{'substitute':0.5,'substitutes':0.5}	{'substitutes': 9, 'substitute': 0}	substitute
湿处理	{'染整加工':0.5,'湿处理':0.5}	{'wet processing':1.0}	{'wet processing': 66}	wet processing
区域经济		{'regional economy':1.0}	{'regional economy': 0}	regional economy
棉纱质量		{'cotton yarn quality':1.0}	{'cotton yarn quality': 0}	cotton yarn quality
PAN纤维	{'PAN纤维':0.66667,'聚丙烯腈纤维':0.33333}	{'pan fiber':1.0}	{'pan fiber': 36}	pan fiber
机织复合材料		{'woven composite':0.6,'woven composites':0.4}	{'woven composite': 37, 'woven composites': 8}	woven composite
泛黄	{'黄变':0.70371,'泛黄':0.22222,'泛黄性':0.07407}	{'yellowing':1.0}	{'yellowing': 90}	yellowing
视觉感受	{'视觉感知':0.625,'视觉感受':0.25,'视知觉':0.125}	{'visual perception':1.0}	{'visual perception': 26}	visual perception
环保理念		{'environmental protection concept':1.0}	{'environmental protection concept': 0}	environmental protection concept
创新驱动		{'innovation driven':0.5,'innovation-driven':0.5}	{'innovation driven': 0, 'innovation-driven': 0}	innovation driven
半染时间		{'half-dyeing time':1.0}	{'half-dyeing time': 0}	half-dyeing time
西域		{'the western regions':0.5,'west region':0.5}	{'the western regions': 0, 'west region': 0}	the western regions
阻燃改性		{'flame retardant modification':1.0}	{'flame retardant modification': 4}	flame retardant modification
纬弹		{'weft elastic':1.0}	{'weft elastic': 0}	weft elastic
陈列	{'陈列':0.71429,'展示':0.28571}	{'display':1.0}	{'display': 20}	display
变色性能		{'chromogenic performance':1.0}	{'chromogenic performance': 0}	chromogenic performance
浮线	{'浮长':0.6,'浮线':0.4}	{'float':1.0}	{'float': 0}	float
服饰史	{'服装史':0.66667,'服饰史':0.33333}	{'costume history':1.0}	{'costume history': 3}	costume history
罗纹组织		{'rib stitch':1.0}	{'rib stitch': 0}	rib stitch
牛仔服	{'牛仔裤':0.53125,'牛仔服':0.15625,'牛仔布':0.125,'牛仔':0.09375,'牛仔服装':0.09375}	{'jeans':1.0}	{'jeans': 34}	jeans
布面效果		{'fabric effect':1.0}	{'fabric effect': 0}	fabric effect
二值化		{'binarization':1.0}	{'binarization': 0}	binarization
东华大学		{'donghua university':1.0}	{'donghua university': 0}	donghua university
发式	{'发式':0.8,'发型':0.2}	{'hair style':0.6,'hairstyle':0.4}	{'hair style': 0, 'hairstyle': 0}	hair style
硅酸钠		{'sodium silicate':1.0}	{'sodium silicate': 61}	sodium silicate
烘箱		{'oven':1.0}	{'oven': 0}	oven
粒子群	{'粒子群':0.55,'粒子群优化':0.25,'粒子群优化算法':0.1,'粒子群算法':0.1}	{'particle swarm optimization':0.6,'particle swarm':0.4}	{'particle swarm optimization': 31, 'particle swarm': 10}	particle swarm optimization
牵伸区		{'drafting zone':0.6,'draft zone':0.4}	{'drafting zone': 0, 'draft zone': 0}	drafting zone
无醛	{'无甲醛':0.88217,'无醛':0.11783}	{'formaldehyde free':0.5,'formaldehyde-free':0.5}	{'formaldehyde free': 58, 'formaldehyde-free': 15}	formaldehyde free
超喂		{'overfeed':1.0}	{'overfeed': 13}	overfeed
烘燥	{'烘燥':0.4074,'干燥':0.33333,'烘干':0.25926}	{'drying':0.66667,'dry':0.33333}	{'drying': 1106, 'dry': 4}	drying
退浆工艺		{'desizing process':0.5,'desizing technology':0.5}	{'desizing process': 0, 'desizing technology': 0}	desizing process
阻燃涂层		{'flame retardant coating':1.0}	{'flame retardant coating': 3}	flame retardant coating
中药		{'traditional chinese medicine':0.6,'chinese traditional medicine':0.4}	{'traditional chinese medicine': 100, 'chinese traditional medicine': 6}	traditional chinese medicine
纤维网		{'fiber web':1.0}	{'fiber web': 14}	fiber web
原料选配	{'原料选择':0.6,'原料选配':0.4}	{'material selection':1.0}	{'material selection': 19}	material selection
织物舒适性	{'织物舒适性':0.71429,'织物舒适度':0.28571}	{'fabric comfort':1.0}	{'fabric comfort': 24}	fabric comfort
当代服装设计		{'contemporary fashion design':1.0}	{'contemporary fashion design': 0}	contemporary fashion design
卷装	{'卷装':0.66667,'package':0.33333}	{'package':1.0}	{'package': 19}	package
印花机	{'印花机':0.66667,'印花设备':0.33333}	{'printing machine':1.0}	{'printing machine': 14}	printing machine
亚硫酸钠		{'sodium sulfite':1.0}	{'sodium sulfite': 61}	sodium sulfite
斜纹组织		{'twill weave':1.0}	{'twill weave': 25}	twill weave
脱水		{'dewatering':0.5,'dehydration':0.5}	{'dehydration': 766, 'dewatering': 406}	dewatering
膜材料	{'膜材料':0.625,'膜材':0.375}	{'membrane material':1.0}	{'membrane material': 223}	membrane material
折皱性		{'creasability':1.0}	{'creasability': 0}	creasability
改性有机硅		{'modified silicone':0.66667,'modified organosilicon':0.33333}	{'modified silicone': 0, 'modified organosilicon': 0}	modified silicone
羊绒纱	{'羊绒纱线':0.66667,'羊绒纱':0.33333}	{'cashmere yarn':1.0}	{'cashmere yarn': 36}	cashmere yarn
纤维毡		{'fiber felt':1.0}	{'fiber felt': 0}	fiber felt
检测仪	{'检测仪':0.66154,'测试仪':0.21538,'测试仪器':0.12308}	{'detector':0.6,'tester':0.4}	{'detector': 41, 'tester': 3}	detector
染色质量		{'dyeing quality':1.0}	{'dyeing quality': 0}	dyeing quality
毒性		{'toxicity':1.0}	{'toxicity': 1495}	toxicity
联合机		{'combined machine':1.0}	{'combined machine': 0}	combined machine
混纺针织纱		{'blended knitting yarn':1.0}	{'blended knitting yarn': 0}	blended knitting yarn
夜光	{'夜光':0.5,'发光':0.5}	{'luminous':1.0}	{'luminous': 0}	luminous
布艺		{'cloth art':1.0}	{'cloth art': 0}	cloth art
高聚物	{'聚合物':0.58334,'高聚物':0.38888,'高分子':0.02778}	{'polymer':0.66667,'high polymer':0.33333}	{'polymer': 7159, 'high polymer': 0}	polymer
纤维复合材料	{'纤维复合材料':0.6,'纤维复合':0.4}	{'fiber composite':1.0}	{'fiber composite': 45}	fiber composite
起皱	{'起皱':0.55882,'褶皱':0.2353,'折皱':0.14706,'皱褶':0.05883}	{'wrinkle':0.5,'wrinkling':0.5}	{'wrinkle': 63, 'wrinkling': 43}	wrinkle
氧气		{'oxygen':1.0}	{'oxygen': 9618}	oxygen
多尺度		{'multi-scale':0.6,'multiscale':0.4}	{'multi-scale': 37, 'multiscale': 26}	multi-scale
一浴工艺	{'一浴法':0.89128,'一浴工艺':0.07236,'同浴法':0.03636}	{'one bath process':0.6,'one-bath process':0.4}	{'one-bath process': 7, 'one bath process': 0}	one bath process
单丝		{'monofilament':1.0}	{'monofilament': 53}	monofilament
捻接	{'捻接':0.56364,'拼接':0.43636}	{'splicing':0.6,'splice':0.4}	{'splicing': 35, 'splice': 3}	splicing
原料性能		{'raw material property':0.6,'raw material properties':0.4}	{'raw material property': 0, 'raw material properties': 0}	raw material property
高温环境		{'high temperature environment':0.66667,'high-temperature environment':0.33333}	{'high-temperature environment': 50, 'high temperature environment': 0}	high temperature environment
载银		{'silver-loaded':1.0}	{'silver-loaded': 0}	silver-loaded
无捻		{'twistless':0.5,'twist-free':0.5}	{'twistless': 0, 'twist-free': 0}	twistless
丙烯酸丁酯		{'butyl acrylate':1.0}	{'butyl acrylate': 9}	butyl acrylate
抗起毛起球性能	{'抗起毛起球性':0.41667,'抗起毛起球':0.33333,'起毛起球性':0.08333,'抗起毛起球性能':0.08333,'抗起球':0.08333}	{'pilling resistance':1.0}	{'pilling resistance': 41}	pilling resistance
纤网	{'Web':0.41667,'网络':0.25,'WEB':0.16667,'纤网':0.16667}	{'web':1.0}	{'web': 29}	web
人体数据		{'body data':0.6,'human body data':0.4}	{'body data': 0, 'human body data': 0}	body data
电场		{'electric field':1.0}	{'electric field': 334}	electric field
硫酸铜		{'copper sulfate':1.0}	{'copper sulfate': 50}	copper sulfate
颗粒物		{'particulate matter':1.0}	{'particulate matter': 198}	particulate matter
磁场		{'magnetic field':1.0}	{'magnetic field': 224}	magnetic field
实时监测	{'实时监测':0.625,'实时监控':0.375}	{'real-time monitoring':1.0}	{'real-time monitoring': 32}	real-time monitoring
静态接触角		{'static contact angle':1.0}	{'static contact angle': 139}	static contact angle
双色		{'two-color':1.0}	{'two-color': 17}	two-color
腰围	{'腰围':0.8,'腰部':0.2}	{'waist girth':0.6,'waist':0.4}	{'waist girth': 3, 'waist': 3}	waist girth
正交试验法	{'正交试验':0.88,'正交实验':0.06,'正交试验法':0.03333,'正交设计':0.02667}	{'orthogonal test':1.0}	{'orthogonal test': 42}	orthogonal test
三维虚拟		{'three-dimensional virtual':0.6,'3d virtual':0.4}	{'three-dimensional virtual': 0, '3d virtual': 0}	three-dimensional virtual
可生物降解	{'生物可降解':0.39286,'生物降解':0.28571,'可生物降解':0.17857,'可降解':0.14286}	{'biodegradable':1.0}	{'biodegradable': 283}	biodegradable
蒽醌		{'anthraquinone':1.0}	{'anthraquinone': 119}	anthraquinone
包缠		{'wrapping':1.0}	{'wrapping': 19}	wrapping
加压	{'压力':0.88732,'压强':0.05634,'气压':0.02817,'加压':0.02817}	{'pressure':1.0}	{'pressure': 2090}	pressure
单纤维	{'单纤维':0.66667,'单根纤维':0.33333}	{'single fiber':1.0}	{'single fiber': 75}	single fiber
屏蔽性能	{'屏蔽效能':0.76988,'屏蔽性能':0.21205,'屏蔽效率':0.01807}	{'shielding effectiveness':0.5,'shielding performance':0.5}	{'shielding effectiveness': 212, 'shielding performance': 88}	shielding effectiveness
涤/棉	{'涤/棉':0.55556,'涤棉':0.44444}	{'polyester/cotton':1.0}	{'polyester/cotton': 94}	polyester/cotton
超支化		{'hyperbranched':1.0}	{'hyperbranched': 97}	hyperbranched
结构变化		{'structural change':1.0}	{'structural change': 93}	structural change
紫外吸收		{'ultraviolet absorption':1.0}	{'ultraviolet absorption': 44}	ultraviolet absorption
不锈钢	{'不锈钢':0.66667,'不锈钢纤维':0.33333}	{'stainless steel':1.0}	{'stainless steel': 994}	stainless steel
阳离子型	{'阳离子':0.59048,'阳离子型':0.40952}	{'cationic':0.66667,'cationic type':0.33333}	{'cationic': 25, 'cationic type': 0}	cationic
柔韧性	{'柔性':0.30233,'柔韧性':0.13953,'弹性':0.13953,'灵活性':0.11628,'柔软性':0.09302,'柔性化':0.06977,'刚柔性':0.04651,'可挠度':0.04651,'弹性性能':0.04651}	{'flexibility':1.0}	{'flexibility': 328}	flexibility
嵌段		{'block':1.0}	{'block': 3}	block
元明粉	{'元明粉':0.66667,'硫酸钠':0.33333}	{'sodium sulfate':1.0}	{'sodium sulfate': 957}	sodium sulfate
促染	{'促染剂':0.5625,'促进剂':0.3125,'促染':0.125}	{'accelerant':1.0}	{'accelerant': 3}	accelerant
节能效果	{'节能效果':0.8,'节能效应':0.2}	{'energy saving effect':0.5,'energy-saving effect':0.5}	{'energy saving effect': 0, 'energy-saving effect': 0}	energy saving effect
自由基		{'free radicals':0.5,'free radical':0.5}	{'free radicals': 2249, 'free radical': 284}	free radical;radical
塑料		{'plastic':1.0}	{'plastic': 252}	plastics
X射线光电子能谱	{'XPS':0.6,'X射线光电子能谱':0.4}	{'xps':1.0}	{'xps': 1640}	xps
荧光增白		{'fluorescent whitening':1.0}	{'fluorescent whitening': 0}	fluorescent whitening
牛奶蛋白	{'酪蛋白':0.44444,'牛奶蛋白':0.33333,'酪素':0.22222}	{'casein':1.0}	{'casein': 117}	casein
氯化钠		{'sodium chloride':1.0}	{'sodium chloride': 3396}	sodium chloride
服装设计师	{'服装设计师':0.7,'设计师':0.3}	{'fashion designer':0.5,'costume designer':0.5}	{'fashion designer': 4, 'costume designer': 0}	fashion designer
纬平针	{'纬平针':0.66667,'平纹':0.33333}	{'plain':0.5,'plain stitch':0.5}	{'plain': 4, 'plain stitch': 0}	plain
络合	{'络合':0.76,'配合反应':0.24}	{'complexing':0.6,'complexation':0.4}	{'complexation': 1388, 'complexing': 4}	complexing
阈值		{'threshold':1.0}	{'threshold': 28}	threshold
汗液		{'sweat':1.0}	{'sweat': 55}	sweat
熔点		{'melting point':1.0}	{'melting point': 288}	melting point
防紫外线性		{'ultraviolet resistant property':1.0}	{'ultraviolet resistant property': 0}	ultraviolet resistant property
冷却	{'冷却':0.41667,'降温':0.33333,'凉感':0.25}	{'cooling':1.0}	{'cooling': 482}	cooling
快干	{'速干':0.5,'快干':0.5}	{'quick drying':1.0}	{'quick drying': 10}	quick drying
男性		{'male':1.0}	{'male': 985}	male
残液		{'residual liquid':1.0}	{'residual liquid': 0}	residual liquid
污水	{'污水':0.6381,'废水':0.3619}	{'sewage':0.6,'waste water':0.4}	{'sewage': 519, 'waste water': 372}	sewage
纺丝液		{'spinning solution':1.0}	{'spinning solution': 145}	spinning solution
起球性能	{'起球性能':0.77778,'起毛起球':0.22222}	{'pilling property':0.66667,'pilling performance':0.33333}	{'pilling property': 6, 'pilling performance': 3}	pilling property
全棉	{'棉':0.79123,'棉花':0.09682,'棉织物':0.05446,'棉纤维':0.03782,'纯棉':0.01967}	{'cotton':1.0}	{'cotton': 6599}	cotton
吸收光谱		{'absorption spectrum':0.66667,'absorption spectra':0.33333}	{'absorption spectra': 331, 'absorption spectrum': 25}	absorption spectrum
碳酸钠	{'碳酸钠':0.6,'纯碱':0.4}	{'sodium carbonate':1.0}	{'sodium carbonate': 304}	sodium carbonate
大肠杆菌		{'escherichia coli':1.0}	{'escherichia coli': 3904}	escherichia coli
芳香		{'aromatic':1.0}	{'aromatic': 14}	aromatic
非离子	{'非离子':0.8,'非离子型':0.2}	{'non-ionic':0.6,'nonionic':0.4}	{'nonionic': 75, 'non-ionic': 3}	non-ionic
湿法		{'wet process':1.0}	{'wet process': 23}	wet process
收缩	{'收缩':0.39394,'缩水率':0.31818,'收缩率':0.13637,'缩率':0.12121,'织缩':0.0303}	{'shrinkage':0.66667,'contraction':0.33333}	{'shrinkage': 763, 'contraction': 24}	shrinkage
剪切	{'剪切':0.8,'剪毛':0.2}	{'shear':0.66667,'shearing':0.33333}	{'shearing': 132, 'shear': 58}	shear
皂洗色牢度	{'皂洗牢度':0.81818,'皂洗色牢度':0.18182}	{'soaping fastness':1.0}	{'soaping fastness': 0}	soaping fastness
流体		{'fluid':1.0}	{'fluid': 37}	fluid
芯纱	{'包芯纱':0.61538,'芯纱':0.38462}	{'core yarn':1.0}	{'core yarn': 24}	core yarn
拉伸性	{'拉伸性能':0.88479,'强伸性能':0.03687,'力学性能':0.02765,'强伸性':0.02304,'拉伸性':0.01843,'拉伸性质':0.00922}	{'tensile property':1.0}	{'tensile property': 600}	tensile property
耐洗		{'washing-resisting':1.0}	{'washing-resisting': 0}	washing-resisting
染色织物		{'dyed fabric':1.0}	{'dyed fabric': 61}	dyed fabric
液体		{'liquid':1.0}	{'liquid': 453}	liquid
氨基		{'amino':1.0}	{'amino': 8}	amino
试样	{'小样':0.6,'试样':0.26667,'样品':0.13333}	{'sample':1.0}	{'sample': 38}	sample
等离子	{'等离子体':0.97449,'等离子':0.02551}	{'plasma':1.0}	{'plasma': 670}	plasma
超声	{'超声波':0.95263,'超声':0.04737}	{'ultrasound':0.6,'ultrasonic':0.4}	{'ultrasound': 600, 'ultrasonic': 88}	ultrasound
红外		{'infrared':1.0}	{'infrared': 63}	infrared
毛	{'羊毛':0.9681,'羊毛纤维':0.0184,'绵羊毛':0.0135}	{'wool':1.0}	{'wool': 5349}	wool
纱	{'纱线':0.96753,'纱':0.01948,'细纱':0.01299}	{'yarn':1.0}	{'yarn': 9930}	yarn
气相色谱-质谱(GC-MS)	{'气相色谱-质谱法(GC-MS)':0.3,'气相色谱-质谱':0.3,'气质联用':0.2,'气相色谱-质谱(GC-MS)':0.2}	{'gas chromatography-mass spectrometry(gc-ms)':1.0}	{'gas chromatography-mass spectrometry(gc-ms)': 0}	gas chromatography-mass spectrometry(gc-ms)
十甲基环五硅氧烷(D5)		{'decamethyl cyclopentasiloxane(d5)':1.0}	{'decamethyl cyclopentasiloxane(d5)': 0}	decamethyl cyclopentasiloxane(d5)
焙烘温度	{'焙烘温度':0.8,'固化温度':0.2}	{'baking temperature':0.66667,'curing temperature':0.33333}	{'curing temperature': 80, 'baking temperature': 11}	baking temperature
层次分析法(AHP)		{'analytic hierarchy process (ahp)':1.0}	{'analytic hierarchy process (ahp)': 23}	analytic hierarchy process (ahp)
环锭精纺机	{'环锭细纱机':0.76785,'细纱机':0.14286,'环锭精纺机':0.08929}	{'ring spinning frame':1.0}	{'ring spinning frame': 55}	ring spinning frame
无监督学习		{'unsupervised learning':1.0}	{'unsupervised learning': 9}	unsupervised learning
集聚机理		{'condensing principle':0.5,'compact principle':0.5}	{'condensing principle': 0, 'compact principle': 0}	condensing principle
松式整理		{'slack finishing':1.0}	{'slack finishing': 0}	slack finishing
水性聚氨酯(WPU)		{'waterborne polyurethane (wpu) ':1.0}	{'waterborne polyurethane (wpu) ': 0}	waterborne polyurethane (wpu)
冷堆漂白		{'cold pad batch bleaching':1.0}	{'cold pad batch bleaching': 0}	cold pad batch bleaching
吸风插件		{'suction plug-in':1.0}	{'suction plug-in': 0}	suction plug-in
曲面展平	{'曲面展平':0.71429,'曲面展开':0.28571}	{'surface flattening':1.0}	{'surface flattening': 13}	surface flattening
顾绣		{'gu embroidery':1.0}	{'gu embroidery': 3}	gu embroidery
多金属氧酸盐		{'polyoxometalate':1.0}	{'polyoxometalate': 116}	polyoxometalate
人造皮革	{'人造皮革':0.59091,'合成革':0.31818,'合成皮革':0.09091}	{'synthetic leather':0.5,'man-made leather':0.5}	{'synthetic leather': 64, 'man-made leather': 0}	synthetic leather
刺子绣		{'sashiko':1.0}	{'sashiko': 0}	sashiko
数码刺绣		{'digital embroidery':1.0}	{'digital embroidery': 0}	digital embroidery
水针板		{'jet strip':1.0}	{'jet strip': 0}	jet strip
聚酰亚胺(PI)		{'polyimide(pi)':1.0}	{'polyimide(pi)': 0}	polyimide(pi)
过滤织物	{'过滤织物':0.5,'过滤布':0.5}	{'filter fabric':1.0}	{'filter fabric': 34}	filter fabric
合金锗纤维		{'germanium alloy fiber':1.0}	{'germanium alloy fiber': 0}	germanium alloy fiber
海丝纤维		{'seacell fiber':1.0}	{'seacell fiber': 0}	seacell fiber
捶草印花		{'grass beating printing':1.0}	{'grass beating printing': 0}	grass beating printing
哺乳装		{'breastfeeding clothing':1.0}	{'breastfeeding clothing': 0}	breastfeeding clothing
聚酰胺酯纤维		{'polyesteramide fiber':1.0}	{'polyesteramide fiber': 0}	polyamidoester fibre;polyesteramide fibre
微信小程序		{'wechat applet':1.0}	{'wechat applet': 0}	wechat applet
UV固化		{'uv-curing':1.0}	{'uv-curing': 61}	uv-curing
热障涂层		{'thermal barrier coating':1.0}	{'thermal barrier coating': 15}	thermal barrier coating
阶段染色		{'step dyeing':1.0}	{'step dyeing': 0}	step dyeing
螺噁嗪		{'spirooxazine':1.0}	{'spirooxazine': 30}	spirooxazine
仿真织物		{'facsimile fabric':1.0}	{'facsimile fabric': 0}	facsimile fabric
二氧化硅纳米颗粒		{'silica nanoparticles':1.0}	{'silica nanoparticles': 1049}	silica nanoparticles
残差神经网络		{'residual neural network':1.0}	{'residual neural network': 3}	residual neural network
质量功能展开		{'quality function deployment':1.0}	{'quality function deployment': 10}	quality function deployment
秦皮		{'cortex fraxini':1.0}	{'cortex fraxini': 3}	cortex fraxini
聚氨酯纤维	{'聚氨基甲酸酯纤维':0.66666,'氨纶':0.27778,'聚氨酯纤维':0.05556}	{'polyurethane fiber':1.0}	{'polyurethane fiber': 27}	polyurethane fiber
纳米表面处理		{'nano-surface treatment':1.0}	{'nano-surface treatment': 0}	nano-surface treatment
电加热织物		{'electric heating fabric':1.0}	{'electric heating fabric': 0}	electric heating fabric
氨基甲酸酯淀粉		{'starch carbamate':0.6,'carbamate starch':0.4}	{'starch carbamate': 0, 'carbamate starch': 0}	starch carbamate
工业水足迹		{'industrial water footprint':1.0}	{'industrial water footprint': 0}	industrial water footprint
启发式算法		{'heuristic algorithm':0.6,'heuristic':0.4}	{'heuristic algorithm': 0, 'heuristic': 0}	heuristic algorithm
几何美学		{'geometric aesthetics':1.0}	{'geometric aesthetics': 0}	geometric aesthetics
Flexsim软件		{'flexsim software':1.0}	{'flexsim software': 3}	flexsim software
电子升降		{'electronic lifting':1.0}	{'electronic lifting': 0}	electronic lifting
双层针织物		{'double-layer knitted fabric':1.0}	{'double-layer knitted fabric': 0}	double-layer knitted fabric
数字散斑相关方法		{'digital spackle correlation method':1.0}	{'digital spackle correlation method': 0}	digital spackle correlation method
菱形花纹	{'菱形纹样':0.5,'菱形花纹':0.5}	{'diamond pattern':1.0}	{'diamond pattern': 0}	diamond pattern
CFD模拟		{'cfd simulation':1.0}	{'cfd simulation': 42}	cfd simulation
围涎		{'bib':1.0}	{'bib': 0}	bib
Bézier曲线		{'bézier curve':1.0}	{'bézier curve': 4}	bézier curve
袖窿曲线		{'armhole curve':1.0}	{'armhole curve': 0}	armhole curve
高速卷绕头		{'high speed take-up machine':0.5,'high-speed winder':0.5}	{'high speed take-up machine': 0, 'high-speed winder': 0}	high speed take-up machine
思维导图		{'mind map':1.0}	{'mind map': 0}	mind map
蒸汽闪爆	{'蒸汽闪爆':0.5,'闪爆':0.25,'蒸汽爆破':0.25}	{'steam explosion':1.0}	{'steam explosion': 163}	steam explosion
聚砜酰胺	{'芳砜纶':0.54375,'聚砜酰胺':0.45625}	{'polysulfonamide':0.6,'polysulfone amide':0.4}	{'polysulfonamide': 21, 'polysulfone amide': 0}	polysulfonamide
桃花坞木刻年画		{'taohuawu woodcut new year picture':1.0}	{'taohuawu woodcut new year picture': 0}	taohuawu woodcut new year picture
芦荟粘胶纤维		{'aloe viscose fiber':1.0}	{'aloe viscose fiber': 0}	aloe viscose fiber
巴厘纱		{'voile':1.0}	{'voile': 0}	voile
义乳文胸		{'postoperative bra':1.0}	{'postoperative bra': 0}	postoperative bra
润滑脂		{'grease':1.0}	{'grease': 8}	grease
库存控制		{'inventory control':1.0}	{'inventory control': 11}	inventory control
GM(1,1)模型		{'gm(1,1) model':1.0}	{'gm(1,1) model': 0}	gm(1,1) model
蛋白石		{'opal':1.0}	{'opal': 3}	opal
交互式遗传算法		{'interactive genetic algorithm':1.0}	{'interactive genetic algorithm': 11}	interactive genetic algorithm
电子牵伸		{'electronic drafting':0.5,'electronic draft':0.5}	{'electronic drafting': 0, 'electronic draft': 0}	electronic drafting
脲醛树脂		{'urea formaldehyde resin':0.5,'urea-formaldehyde resin':0.5}	{'urea-formaldehyde resin': 11, 'urea formaldehyde resin': 0}	urea formaldehyde resin
